"country_name","year","inflation_rate","global_inflation_rate"
Brazil,2010,5.04,3.653809
Greece,2010,4.71,3.653809
India,2010,11.99,3.653809
Indonesia,2010,5.13,3.653809
Mexico,2010,4.16,3.653809
Russian Federation,2010,6.85,3.653809
Saudi Arabia,2010,5.34,3.653809
South Africa,2010,4.07,3.653809
Turkiye,2010,8.57,3.653809
Turkiye,2011,6.47,4.110952
South Africa,2011,5.00,4.110952
Saudi Arabia,2011,5.83,4.110952
Russian Federation,2011,8.44,4.110952
Indonesia,2011,5.36,4.110952
India,2011,8.91,4.110952
China,2011,5.55,4.110952
Brazil,2011,6.64,4.110952
Brazil,2012,5.40,3.275714
India,2012,9.48,3.275714
Indonesia,2012,4.28,3.275714
Mexico,2012,4.11,3.275714
Russian Federation,2012,5.07,3.275714
South Africa,2012,5.74,3.275714
Turkiye,2012,8.89,3.275714
Turkiye,2013,7.49,3.105714
South Africa,2013,5.78,3.105714
Saudi Arabia,2013,3.51,3.105714
Russian Federation,2013,6.75,3.105714
Mexico,2013,3.81,3.105714
Indonesia,2013,6.41,3.105714
India,2013,10.02,3.105714
Brazil,2013,6.20,3.105714
Brazil,2014,6.33,2.955238
India,2014,6.67,2.955238
Indonesia,2014,6.39,2.955238
Mexico,2014,4.02,2.955238
Russian Federation,2014,7.82,2.955238
South Africa,2014,6.13,2.955238
Turkiye,2014,8.85,2.955238
Turkiye,2015,7.67,2.630952
South Africa,2015,4.52,2.630952
Russian Federation,2015,15.53,2.630952
Mexico,2015,2.72,2.630952
Indonesia,2015,6.36,2.630952
India,2015,4.91,2.630952
Brazil,2015,9.03,2.630952
Brazil,2016,8.74,2.402380
India,2016,4.95,2.402380
Indonesia,2016,3.53,2.402380
Mexico,2016,2.82,2.402380
Russian Federation,2016,7.04,2.402380
South Africa,2016,6.60,2.402380
Turkiye,2016,7.78,2.402380
Turkiye,2017,11.14,2.640000
South Africa,2017,5.19,2.640000
Russian Federation,2017,3.68,2.640000
Mexico,2017,6.04,2.640000
Indonesia,2017,3.81,2.640000
India,2017,3.33,2.640000
Brazil,2017,3.45,2.640000
Mexico,2018,4.90,4.435454
South Africa,2018,4.51,4.435454
Turkiye,2018,16.33,4.435454
Argentina,2018,34.28,4.435454
Argentina,2019,53.55,4.799090
Turkiye,2019,15.18,4.799090
India,2020,6.62,3.833636
Turkiye,2020,12.28,3.833636
Argentina,2020,42.02,3.833636
Argentina,2021,48.41,5.966363
Turkiye,2021,19.60,5.966363
Russian Federation,2021,6.69,5.966363
Brazil,2021,8.30,5.966363
Russian Federation,2022,13.74,12.550909
Turkiye,2022,72.31,12.550909
Argentina,2022,72.43,12.550909
Argentina,2023,133.49,12.460909
Turkiye,2023,53.86,12.460909
Turkiye,2024,58.51,15.361363
Argentina,2024,219.88,15.361363
