"country_name","year","gdp_change","multiplier_change"
Argentina,2011,-4.13,0.0922309051299
Argentina,2016,-4.81,0.0205423158334
Argentina,2020,-7.90,0.0293066019665
Argentina,2022,-4.42,0.1202046035806
Argentina,2023,-7.88,0.1293351216708
Australia,2014,-0.05,0.0301341361354
Australia,2017,-0.47,0.0385758907732
Australia,2023,-0.67,0.0153260623416
Australia,2024,-2.21,0.1022213308621
Brazil,2011,-3.56,0.0672384509805
Brazil,2014,-2.50,0.0722487717918
Brazil,2019,-0.56,0.0020418393672
Brazil,2022,-1.74,0.0947213559590
Canada,2012,-1.38,0.0791840537305
Canada,2018,-0.29,0.0858481220307
Canada,2019,-0.83,0.0536178587765
Canada,2020,-6.95,0.1952937666241
Canada,2022,-1.76,0.1082940963419
Canada,2023,-2.66,0.0853740355585
China,2011,-1.14,0.0256361739805
China,2012,-1.60,0.0227506118336
China,2013,-0.08,0.0273210556294
China,2014,-0.32,0.0265001408583
China,2015,-0.48,0.0267957918205
China,2016,-0.20,0.0212082625920
China,2019,-0.69,0.0984857735987
China,2020,-3.73,0.1878947368422
China,2022,-5.44,0.2205084072554
France,2012,-2.26,0.0415279355935
France,2016,-0.21,0.0385455383640
France,2020,-9.47,0.1770186197099
France,2022,-4.16,0.0005778837618
France,2024,-0.25,0.1402165107888
Germany,2011,-0.37,0.0156987589462
Germany,2012,-3.30,0.0162918877442
Germany,2015,-0.52,0.0619092421748
Germany,2018,-1.66,0.0492313953853
Germany,2019,-0.16,0.0141936933563
Germany,2020,-5.11,0.1713428161294
Germany,2022,-2.10,0.0715983890140
Germany,2023,-2.68,0.0341604597606
Greece,2015,-1.02,0.0196207883566
Greece,2020,-11.48,0.0838894114609
Greece,2022,-3.13,0.1032450206834
India,2011,-3.26,0.0527036406191
India,2017,-1.46,0.0384918099417
India,2018,-0.35,0.0448264932885
India,2019,-2.58,0.1266528116623
India,2022,-2.08,0.4151003525020
India,2024,-2.70,0.0359712230215
Indonesia,2011,-0.05,0.4175761036983
Indonesia,2013,-0.47,0.1764348086062
Indonesia,2014,-0.55,0.2636513625761
Indonesia,2019,-0.15,0.0538004200481
Indonesia,2024,-0.02,0.0270713174036
Italy,2011,-0.83,0.1471291866029
Italy,2020,-9.30,0.2788125625019
Italy,2023,-3.84,0.0422271701901
Italy,2024,-0.29,0.1363544712169
Japan,2014,-1.71,0.0692310874541
Japan,2016,-0.81,0.0174395523376
Japan,2019,-1.04,0.1907657851667
Japan,2022,-1.76,0.0211614240330
"Korea, Rep.",2011,-3.29,0.2036305758149
"Korea, Rep.",2022,-1.88,0.1101398601399
Mexico,2011,-1.53,0.0559117068551
Mexico,2016,-0.93,0.0024226353692
Mexico,2022,-2.34,0.0835851417758
Mexico,2023,-0.36,0.1267081570729
Mexico,2024,-1.92,0.0409504822458
Russian Federation,2011,-0.20,0.0422420645925
Russian Federation,2012,-0.28,0.3710212312102
Russian Federation,2014,-1.02,0.1196045577575
Russian Federation,2015,-2.71,0.2196330626157
Russian Federation,2022,-7.31,0.3204515163878
Saudi Arabia,2012,-6.00,0.0681090682571
Saudi Arabia,2013,-2.81,0.3925711743773
Saudi Arabia,2017,-0.52,1.0141189667718
Saudi Arabia,2023,-11.46,0.5040038544069
South Africa,2012,-0.77,0.0565434615930
South Africa,2016,-0.66,0.0210982784528
South Africa,2019,-1.30,0.0204079554883
South Africa,2020,-6.43,0.0266936845515
South Africa,2023,-1.25,0.0233361143181
Spain,2011,-0.73,0.0709079969322
Spain,2016,-1.14,0.0709793508908
Spain,2018,-0.50,0.0106394314270
Spain,2019,-0.44,0.0575815881692
Spain,2020,-12.90,0.1576185191781
Spain,2023,-3.91,0.0803041358391
Switzerland,2011,-1.43,0.0438947581804
Switzerland,2012,-0.63,0.1023993858865
Switzerland,2015,-0.71,0.0548783643892
Switzerland,2019,-1.72,0.1342706111651
Switzerland,2022,-2.52,0.0015115400267
Switzerland,2023,-2.36,0.2853503796982
Turkiye,2012,-6.17,0.0226748693242
Turkiye,2016,-2.49,0.0003651910572
Turkiye,2024,-1.72,0.0076858844031
United Kingdom,2011,-1.41,0.0943063928758
United Kingdom,2018,-1.47,0.0317874396135
United Kingdom,2019,-0.29,0.1067553654867
United Kingdom,2020,-11.31,0.0702864268163
United Kingdom,2022,-3.39,0.1567551931537
United Kingdom,2023,-4.88,0.1537605886883
United States,2011,-1.14,0.0230668824727
United States,2013,-0.17,0.0997269823999
United States,2019,-0.39,0.0756864389017
United States,2022,-3.55,0.4088336960696
United States,2024,-0.10,0.0348395385709
